SERVICE AREA,PROJECT TITLE,START DATE,END DATE,STATUS
Innovation,Technovation Talks ,2018-01-01,,Ongoing
Innovation,Unite Ideas,2015-09-01,,Ongoing
Innovation,Unite Spark,2018-06-01,,Ongoing
Innovation,Summer of Solutions,2019-04-01,2019-08-01,Complete
Innovation,Reboot the Earth,2019-08-01,2019-09-01,Complete
Innovation,Reboot the Ocean,2020-05-01,2020-08-01,Complete
Innovation,Reboot Health & Well being,2020-03-01,2020-07-01,Complete
Innovation,Pay-it-Forward ,2020-08-01,2020-10-01,Complete
Innovation,Internet Radio Streaming research (OICT in ESCWA),2020-08-15,2020-11-01,Complete
Strategic Tech Solutions,GoTravel,2018-06-01,,Ongoing
Strategic Tech Solutions,GoFintel,2020-01-01,,Ongoing
Strategic Tech Solutions,GoLearn,2020-01-01,,Ongoing
Strategic Tech Solutions,GoLandRegistry,2020-01-01,,Ongoing
Strategic Tech Solutions,GoInsight,2021-02-21,,Ongoing
Strategic Tech Solutions,TechLearnTalks,2020-01-01,,Ongoing
Strategic Tech Solutions,United Nations Technology Innovation Lab (UNTIL) ,2017-01-01,2020-06-30,Complete
Strategic Tech Solutions,Cotton tracing on blockchain,2020-01-01,,Ongoing
Data & AI,Data as a Service ,2021-01-01,2021-12-31,Ongoing
Data & AI,Alba Chatbot ,2019-05-01,,Ongoing
Data & AI,Prototype AI solution for Humanitarian Affairs,2019-05-01,2019-08-01,Complete
Cyber security ,Deployment of Threat Hunting Solutions,2020-12-01,,Ongoing 
Cyber security ,Deployment of Vulnerability Management Solutions ,2020-12-01,,Ongoing 
Cyber security ,Assessment Team,2017-02-01,,Ongoing 
Communication and Outreach ,Technology website,2019-01-01,,Ongoing 
Communication and Outreach ,iSeek,2019-01-01,,Ongoing 
Communication and Outreach ,Unite Website,2019-01-01,,Ongoing 
Information Management ,Establishing the Information Management Framework ,2019-12-01,,Ongoing 
Information Management ,Information Management Advisory Services,2019-01-01,,Ongoing 
Information Management ,Information Governance in Unite Workspace,2019-04-01,2020-12-01,Complete
"ICT Strategy, Policy and Governance ",ICT Strategy ,2014-10-10,2019-01-10,Complete
"ICT Strategy, Policy and Governance ",Peacekeeping Technology Strategy ,2019-09-01,,Ongoing 
